Index,Name,Age,Gender,Nationality,Years Active,Genre Specialization,Beauty,Skill Level,Education Level,Award Wins,Media Mentions,Social Media Followers,Social Media Likes,Network Size,Income
5321,Lauren Owens,33,Female,USA,13,Comedy,7.71,8.73,College,10,34,14353,4289,19,931905.65
5322,Jason Russell,24,Male,USA,6,Sci-Fi,7.31,13.47,Graduate,7,28,17718,5171,31,564725.61
5323,Albert Mathews IV,47,Male,USA,11,Action,6.21,4.39,University,5,50,17139,5724,31,551366.38
5324,Katherine Schneider,50,Male,USA,14,Sci-Fi,6.91,12.6,Graduate,10,44,17823,5119,22,899556.95
5325,Rachel Pierce,26,Male,USA,8,Action,6.78,10.84,College,8,33,16975,5007,24,587281.3
5326,Bradley Morgan,36,Female,USA,18,Drama,9.14,4.44,Graduate,9,49,20252,5566,34,1298905.56
5327,Brian Carroll,29,Female,USA,11,Drama,9.66,13.37,University,8,41,18112,5086,23,816108.12
5328,Wendy Wright,47,Male,Canada,17,Sci-Fi,6.97,10.24,University,11,33,16297,5120,21,977149.09
5329,Daniel Murray,39,Female,USA,17,Drama,10.83,16.05,University,13,37,14487,5052,24,1177810.97
5330,William Smith,29,Female,USA,11,Drama,6.83,10.76,High School,12,38,14518,4981,23,1115778.12
5331,Dustin Brown,28,Female,USA,10,Drama,5.63,5.72,University,8,37,15967,5013,23,809365.62
5332,Dr. Jonathan Kelly,32,Female,USA,14,Drama,5.57,3.44,University,5,36,15556,4461,18,367536.4
5333,Sarah Ross,55,Male,Canada,19,Action,6.85,10.08,College,10,54,17780,5285,25,1145851.41
5334,Douglas Simmons,39,Male,USA,17,Sci-Fi,7.01,8.86,University,10,47,17965,5532,22,1051390.36
5335,Natalie Brooks,46,Female,USA,14,Drama,9.23,9.73,College,9,34,15808,5073,21,921343.61
5336,Michael Noble,34,Female,USA,16,Action,9.75,13.48,University,12,41,17441,5289,34,1355478.66
5337,Heather Price,37,Male,USA,18,Comedy,4.74,2.01,University,7,42,19239,5553,26,1091950.83
5338,Christopher Jones,50,Male,USA,11,Action,6.19,3.44,University,5,44,17025,5062,20,426458.45
5339,Scott Collins,43,Female,USA,10,Drama,10.1,9.22,University,8,40,18507,5097,18,607507.69
5340,Anthony Hansen,25,Male,USA,7,Horror,5.77,8.23,High School,9,33,17440,5185,22,596266.16
5341,Lisa Mcdonald,36,Female,USA,16,Comedy,11.83,11.63,Graduate,12,39,14476,5164,22,1369067.83
5342,Joshua Robinson,37,Female,USA,15,Drama,6.02,7.57,Graduate,9,27,16290,4790,21,768842.88
5343,Sharon Brewer,29,Female,USA,11,Comedy,8.03,13.26,College,11,38,16415,5011,22,841894.45
5344,Karen Smith,39,Female,USA,15,Drama,9.47,13.77,University,11,41,15655,5030,23,1031901.67
5345,Anna Guerrero,26,Female,USA,8,Comedy,10.46,5.76,High School,7,41,15547,5046,24,533866.5
5346,Whitney Lutz,40,Male,USA,9,Drama,6.03,10.15,University,7,31,13369,4559,27,565411.31
5347,Kim Brooks,41,Male,USA,13,Comedy,6.63,11.65,College,11,27,15385,5109,21,544635.33
5348,Steven Smith,28,Male,Canada,10,Sci-Fi,8.39,6.5,Graduate,7,27,15513,5130,28,540456.49
5349,Jessica Conner,36,Male,USA,13,Comedy,6.21,6.88,University,8,31,14671,4918,16,738233.57
5350,Whitney Myers,50,Male,USA,19,Action,6.07,4.74,High School,7,52,19610,5544,23,1124346.47
5351,Kelsey Reid,32,Female,USA,10,Comedy,8.73,12.74,University,10,38,16155,4960,28,631271.59
5352,Elizabeth Clay,45,Male,USA,15,Action,7.55,8.11,High School,7,35,17233,5222,20,772077.32
5353,Ronald Lee,32,Male,Canada,13,Musical,11.07,10.27,College,9,31,15399,4726,19,671436.46
5354,Scott Johnson,52,Female,USA,17,Comedy,10.28,1.5,High School,7,46,20283,5494,29,1293605.64
5355,Richard Burton,42,Female,Canada,12,Comedy,7.18,11.7,University,10,37,15767,4665,17,855209.68
5356,Catherine Shelton,37,Female,USA,19,Comedy,9.06,7.61,University,10,35,19026,5622,25,2021234.65
5357,Samantha Hudson,43,Female,USA,9,Action,10.25,11.03,High School,9,39,15770,5291,21,931516.14
5358,Amanda Hess DDS,51,Male,USA,12,Action,7.45,6.72,High School,7,31,15632,4927,29,548967.64
5359,Holly Manning,21,Female,USA,3,Comedy,8.98,6.61,Graduate,5,48,19228,5584,25,674930.09
5360,Christopher Kent,54,Female,USA,13,Comedy,8.15,8.38,University,7,47,19509,5161,31,594120.22
5361,Richard Griffin,33,Male,Canada,14,Comedy,6.12,8.62,College,8,35,15210,4929,23,774311.19
5362,Deborah Thompson,52,Male,USA,15,Comedy,7.53,5.24,College,8,41,16967,4878,26,1118282.89
5363,Travis Castillo MD,45,Female,USA,15,Comedy,9.44,4.66,College,8,42,16317,5328,23,848385.86
5364,Angela Wilson,38,Female,USA,14,Musical,11.33,10.64,High School,10,42,18760,5351,21,920107.4
5365,Kelly Armstrong,29,Male,USA,11,Drama,11.69,12.99,High School,10,55,16581,5730,25,862264.76
5366,Chelsea Williams,52,Female,Canada,19,Comedy,7.73,11.54,High School,12,35,15764,5416,23,1081239.53
5367,Patrick Smith,26,Male,USA,8,Musical,12.43,18.43,University,10,35,17147,5154,27,608951.73
5368,Eric Arnold,31,Female,USA,11,Drama,9.2,4.2,Graduate,8,31,16628,5073,24,980576.63
5369,John Collins,54,Male,USA,15,Action,7.88,3.5,College,7,40,18754,5453,24,806935.78
5370,Victor Carrillo,41,Female,USA,16,Drama,9.71,14.97,Graduate,12,27,14764,4758,22,1178399.2
5371,Teresa Hale,25,Female,USA,7,Action,9.49,5.53,High School,6,43,17395,4974,21,742245.61
5372,Emily Aguirre,33,Male,USA,14,Sci-Fi,7.22,13.88,High School,10,37,15777,4935,19,673236.19
5373,Taylor White,28,Female,USA,10,Comedy,8.7,9.0,High School,10,33,13586,4708,23,683414.01
5374,John Kemp,40,Female,USA,14,Drama,7.3,4.05,Graduate,7,46,19997,5316,28,961363.36
5375,Leslie Simpson,51,Male,Canada,13,Sci-Fi,8.07,5.74,University,8,34,14161,4663,23,858762.55
5376,Kathleen Brown,30,Female,USA,12,Drama,8.44,6.39,High School,9,35,17521,5342,36,634540.87
5377,Mary Vargas,37,Female,Canada,8,Action,7.65,9.4,University,9,29,14772,4785,23,639071.84
5378,Julie Alvarado,39,Male,USA,21,Sci-Fi,8.7,13.35,University,12,32,14417,4742,23,1028917.53
5379,Ryan Noble,43,Male,USA,9,Musical,10.06,5.47,High School,7,41,17717,5333,22,640975.74
5380,Crystal King,38,Female,USA,17,Comedy,8.63,5.36,College,10,43,17721,5291,35,1164528.18
5381,Edward Ortiz,29,Female,USA,11,Drama,10.57,9.58,University,7,41,20082,5534,24,1015124.73
5382,Madison Davis,39,Male,Canada,10,Drama,7.78,6.22,Graduate,5,43,17052,5405,26,627710.95
5383,Marc Pierce,35,Female,USA,17,Musical,9.05,8.45,University,9,45,18280,4855,26,930066.85
5384,Margaret Fisher,48,Male,USA,13,Action,4.34,14.76,College,10,41,14787,5291,24,575684.67
5385,Madeline White,36,Male,USA,12,Sci-Fi,6.15,7.11,College,4,39,16908,4867,24,356084.2
5386,Charles Cummings,40,Female,USA,17,Comedy,8.9,11.71,University,10,41,15869,4794,24,944419.52
5387,Amy Webster,24,Female,USA,6,Comedy,9.03,6.01,High School,6,28,14287,4560,21,462499.43
5388,Steven Bass,35,Male,Canada,17,Action,4.85,9.67,University,9,48,18607,5246,25,916228.01
5389,Stacey Nelson,27,Male,USA,9,Action,6.58,10.61,College,10,30,16031,4977,26,650519.07
5390,Michael Wheeler,19,Female,USA,1,Comedy,7.52,14.81,High School,9,34,14926,5588,28,555484.37
5391,Kayla Johnson,45,Male,USA,18,Comedy,6.11,10.89,College,11,40,16812,5243,25,1284152.08
5392,Jamie Lewis,51,Male,USA,19,Sci-Fi,6.43,10.44,High School,10,45,17081,4915,24,749350.83
5393,Clinton Duncan,40,Male,USA,12,Drama,6.27,9.41,Graduate,7,33,17521,5389,29,760572.73
5394,Brittany Baker,35,Male,USA,16,Drama,6.87,9.6,College,7,27,16522,5362,30,631257.68
5395,Cynthia Miranda,34,Male,USA,14,Comedy,6.53,3.26,Graduate,5,38,16164,5173,26,731555.01
5396,Andrea Velez,34,Female,USA,16,Drama,8.44,10.97,Graduate,11,33,15214,4975,23,1135651.0
5397,Dawn Hunter,26,Female,USA,8,Musical,10.75,5.34,Graduate,8,42,14745,5183,27,565441.22
5398,George Castro,47,Female,USA,12,Drama,5.14,10.1,University,6,50,18223,5394,24,399209.13
5399,Casey Rodriguez,42,Male,USA,13,Comedy,4.26,6.34,High School,6,37,16215,4716,24,595502.33
5400,Pamela Edwards,38,Female,USA,14,Action,10.08,15.12,Graduate,13,44,18290,5086,22,1484299.97
5401,Alicia Franklin,42,Male,Canada,18,Comedy,6.78,4.85,University,7,41,18918,5686,29,1465768.42
5402,Ronald Strickland,34,Female,USA,16,Comedy,8.23,7.71,Graduate,7,42,16353,4700,26,485069.3
5403,Tara Allen,27,Male,USA,9,Action,5.09,5.68,High School,5,38,16135,4953,25,518460.2
5404,Jeremy Chen,40,Male,USA,13,Sci-Fi,5.81,7.06,College,8,44,16645,5086,21,441374.65
5405,Nancy Marquez,40,Female,USA,15,Comedy,5.39,12.61,Graduate,9,45,19978,5658,31,1136432.71
5406,John Watts,46,Female,USA,14,Drama,6.25,5.76,High School,10,47,17067,5245,28,1528040.88
5407,Martha Young,27,Female,USA,9,Drama,9.01,6.73,College,8,40,15226,4954,24,620202.29
5408,Douglas Gonzalez,44,Female,USA,19,Action,7.11,11.59,Graduate,10,48,18574,5317,32,1073674.62
5409,Mallory Barker,45,Female,USA,16,Comedy,8.26,3.27,High School,8,36,16546,4738,23,1033212.94
5410,Mario Christensen,52,Female,USA,18,Action,5.5,11.49,Graduate,10,35,18441,4958,20,1027613.41
5411,Ian Warren,47,Male,USA,11,Sci-Fi,7.64,7.82,College,7,33,16037,4865,19,523070.28
5412,Dr. Kayla Hernandez,25,Male,Canada,7,Sci-Fi,5.52,7.66,Graduate,4,33,17680,5452,20,317545.6
5413,Teresa Stevenson MD,46,Male,USA,12,Sci-Fi,6.38,5.33,College,7,39,15137,5219,28,609231.48
5414,Brandon Nelson,30,Female,USA,12,Action,4.23,6.59,University,8,38,17443,4980,26,795187.0
5415,Stephen Hanson,44,Male,USA,14,Drama,7.07,2.9,High School,6,37,18303,5384,27,658829.09
5416,Patrick Gilbert,31,Male,Canada,13,Sci-Fi,7.32,13.76,University,11,28,14711,5361,31,545651.76
5417,Tiffany Lewis,28,Female,USA,10,Comedy,7.0,8.79,College,9,40,15142,5061,24,694793.15
5418,Joel Andrews,51,Male,USA,20,Comedy,5.71,8.46,College,10,44,17691,5584,29,1418975.99
5419,Colleen Mccarty,33,Female,USA,15,Drama,11.8,8.08,College,10,36,15836,5003,28,1094426.03
5420,Jeffrey Clay,28,Female,USA,10,Horror,6.12,7.67,University,8,41,18297,5322,25,482454.82
5421,Michael Hoffman,25,Male,USA,7,Action,4.82,5.36,High School,7,24,14846,4880,21,375698.6
5422,Jamie Stanton,39,Female,USA,13,Musical,9.44,7.37,High School,11,39,16463,5353,18,1020867.18
5423,Frank Wood,34,Male,USA,16,Horror,3.8,16.63,Graduate,11,25,16394,5086,24,601623.11
5424,Sara Hardy,34,Female,USA,16,Action,10.63,14.08,Graduate,13,38,17544,5172,18,1819923.78
5425,Patricia Flores,41,Male,USA,13,Action,5.89,7.75,High School,8,27,15371,4972,24,641122.82
5426,Natalie Williams PhD,43,Male,USA,13,Action,6.21,6.65,University,7,43,18909,5364,31,730393.36
5427,Sara Moreno,35,Female,USA,17,Drama,4.66,4.28,College,8,53,15844,5291,22,1041084.4
5428,Elizabeth Acosta,37,Female,USA,19,Drama,8.77,12.26,Graduate,11,28,16261,5182,25,1312481.79
5429,Kent Price,33,Male,USA,15,Horror,8.0,8.22,High School,8,42,14757,4845,31,618745.97
5430,Jennifer Lee,43,Female,USA,19,Comedy,7.94,8.44,High School,11,36,15026,4918,25,1358764.95
5431,Natalie Mitchell,48,Male,USA,14,Drama,6.01,4.14,University,4,43,16708,5171,26,613140.47
5432,Carly Mccarthy,36,Female,USA,18,Drama,10.47,11.9,College,12,43,18112,5337,26,1378196.77
5433,Amy Frazier,47,Male,USA,10,Comedy,6.44,6.06,Graduate,6,46,17809,5033,24,779604.49
5434,Mario Wilson,35,Female,USA,17,Comedy,10.51,14.82,Graduate,11,38,18272,5464,28,1100650.78
5435,Michael Miller,26,Female,USA,8,Drama,11.42,6.4,University,6,47,19599,5331,24,1043889.09
5436,Charles Campbell Jr.,24,Female,Canada,6,Comedy,6.3,5.96,Graduate,7,47,18904,5295,27,559469.65
5437,Wanda Richardson,37,Male,USA,16,Action,6.97,1.67,College,5,26,16248,4640,17,753427.71
5438,Corey Perez,42,Male,USA,20,Action,8.51,9.29,Graduate,9,37,15709,5362,32,1056512.16
5439,Christopher Martin,53,Male,USA,16,Sci-Fi,8.11,5.82,High School,7,41,18462,5346,27,762157.35
5440,David Rivers,47,Female,USA,12,Action,7.28,10.57,College,8,29,15261,4653,25,866035.32
5441,Gregory Mcpherson,30,Female,USA,12,Comedy,10.36,9.88,High School,10,33,15721,5099,23,784858.05
5442,Bryan Tucker,35,Female,USA,13,Drama,5.72,7.74,College,9,32,15919,5423,25,571011.07
5443,Audrey Miles,23,Female,USA,5,Comedy,8.17,12.71,Graduate,8,32,15821,5246,21,466685.78
5444,Hector Miller,45,Female,USA,11,Drama,9.97,8.01,High School,11,25,15609,5285,24,794439.7
5445,Pamela Dennis,58,Female,USA,17,Action,10.78,18.97,Graduate,15,32,15600,4797,23,1956016.18
5446,Terry Perez,63,Female,USA,20,Drama,6.66,8.84,High School,8,37,17398,4411,24,1254093.81
5447,Rachael Mitchell,59,Male,USA,14,Sci-Fi,7.05,9.15,College,8,44,16591,5072,28,611755.67
5448,Jeffrey Ortega,43,Male,Canada,13,Action,4.0,5.62,High School,7,24,13999,4736,19,435117.66
5449,Sharon Campos,50,Male,USA,13,Action,5.48,6.78,College,8,43,18169,5233,30,920924.43
5450,James Johnson,38,Male,USA,12,Action,5.57,6.93,Graduate,7,30,13249,4505,24,564631.95
5451,Jasmine Mccann,33,Male,USA,13,Drama,6.9,7.97,University,10,34,14082,5297,24,843417.47
5452,Austin Bush,43,Female,USA,12,Comedy,8.5,6.67,High School,7,36,19122,5380,24,893714.74
5453,Laura Rose,30,Male,USA,12,Horror,5.88,11.37,High School,10,40,19154,5804,24,742513.53
5454,Richard Hale,36,Female,USA,18,Comedy,7.95,13.48,College,13,33,15597,4814,19,1368506.3
5455,April Torres,22,Male,Canada,4,Comedy,7.77,10.27,College,6,30,14700,4540,23,443866.3
5456,Christopher Cline,20,Female,USA,2,Musical,12.55,11.61,Graduate,7,38,16391,4994,19,542349.42
5457,Ashley Pope,25,Male,Canada,7,Horror,6.65,9.79,High School,8,34,15649,5158,27,376034.28
5458,Victor Thompson,32,Male,USA,14,Action,6.55,5.19,Graduate,5,42,17769,5062,24,560854.91
5459,Anthony Martin,44,Male,Canada,14,Drama,5.26,3.28,High School,8,36,19079,5496,28,1124484.9
5460,Whitney Jackson,36,Female,USA,15,Drama,9.66,10.44,High School,12,31,14620,5051,19,1317462.04
5461,Megan Fischer,24,Female,USA,6,Comedy,11.01,4.87,University,5,34,15188,4809,23,594584.64
5462,Chad Garrett,26,Female,USA,8,Drama,6.68,8.74,High School,6,48,17458,4912,25,530122.48
5463,Melissa Schaefer,42,Male,USA,11,Action,4.67,6.42,College,7,33,16333,5053,18,341681.53
5464,Peggy Parker,49,Male,USA,10,Comedy,3.89,7.38,College,6,48,16166,4664,23,454903.53
5465,Jamie Harris,30,Male,USA,12,Drama,6.24,6.95,University,8,48,20520,5587,29,864447.41
5466,Alexander Ortiz,24,Female,USA,6,Drama,9.64,3.61,College,8,44,17095,5242,30,803140.37
5467,Lindsay Rogers,36,Male,USA,14,Action,8.44,6.64,High School,10,39,15148,5227,22,1101584.36
5468,Nicole Hanna,23,Female,USA,5,Drama,8.45,11.64,College,8,31,15101,4750,19,509571.75
5469,Karen Smith,39,Female,USA,15,Drama,9.47,13.77,University,11,41,15655,5030,23,1031901.67
5470,Chelsey Martinez,54,Female,USA,16,Drama,8.95,15.45,Graduate,13,31,15527,4714,19,1924328.05
5471,Andrea Baker,39,Male,USA,14,Action,7.94,11.58,University,10,34,15033,4984,30,871295.86
5472,Joe Smith,38,Female,USA,12,Sci-Fi,8.84,13.57,University,11,38,14796,4724,21,850736.84
5473,Mr. David Duncan,47,Female,USA,17,Action,7.29,18.34,Graduate,13,31,12624,4229,15,920127.46
5474,Ashlee Potts,20,Female,USA,2,Drama,7.89,6.53,High School,7,40,17258,5123,19,461243.37
5475,Taylor Castro,58,Male,USA,10,Comedy,6.41,5.47,Graduate,6,44,16688,4958,27,661273.44
5476,Ethan Moore,44,Male,USA,15,Comedy,6.07,5.26,College,8,34,17264,4958,28,1030983.46
5477,Brianna Rasmussen,53,Female,USA,12,Action,6.16,17.82,University,11,34,15355,4595,25,868171.11
5478,Amy Larsen,22,Female,USA,4,Comedy,8.39,14.57,Graduate,7,44,18557,5064,36,452824.11
5479,Kurt Wall,40,Female,USA,17,Sci-Fi,9.78,6.28,College,8,45,17173,5329,21,1147177.03
5480,Terrance Lowe,28,Male,USA,10,Action,5.65,9.88,High School,8,32,14227,4660,18,634807.36
5481,Frank Davenport,48,Male,Canada,19,Action,7.75,7.27,High School,9,47,19083,5192,27,1090842.06
5482,Jill Rose,26,Male,USA,8,Comedy,6.97,11.08,University,7,31,14814,5019,25,340802.97
5483,Karen Nguyen,32,Female,USA,14,Sci-Fi,7.03,3.78,College,7,40,17521,5106,22,868568.22
5484,Steven Williams,53,Male,USA,15,Musical,11.72,11.57,College,10,24,15432,5221,16,712638.49
5485,Lauren Galloway,33,Female,USA,14,Comedy,7.5,7.28,Graduate,7,35,16416,5045,21,783169.8
5486,Leslie Leblanc,35,Male,USA,17,Action,5.57,6.63,High School,9,39,17503,5041,23,885984.73
5487,Kimberly Thomas,29,Male,USA,11,Horror,7.63,10.25,College,9,38,16367,4940,24,711098.36
5488,Michael Stark,25,Male,USA,7,Comedy,6.27,14.06,Graduate,9,37,14643,4572,17,444737.75
5489,Tracy Hess,40,Male,Canada,17,Drama,7.81,10.74,University,11,33,16445,5249,26,1229437.98
5490,Christopher Liu,38,Male,USA,17,Action,5.93,4.85,College,7,33,13462,5074,25,635929.0
5491,Wendy Alexander,36,Female,USA,14,Comedy,9.0,8.36,High School,10,47,16600,5291,32,955204.1
5492,Erika Adams,55,Male,USA,14,Horror,6.13,5.65,University,7,44,15273,4670,24,546521.76
5493,Laura Jones,34,Male,USA,16,Horror,7.14,10.23,University,8,44,18915,5364,33,726256.99
5494,Carolyn Brown,37,Female,USA,11,Comedy,9.98,5.82,High School,6,37,15631,5068,25,473149.51
5495,Karen Harper,39,Male,USA,11,Action,7.05,12.67,Graduate,9,52,16125,5183,30,574647.22
5496,Jennifer Lee,50,Male,USA,10,Comedy,5.02,16.4,Graduate,11,49,16122,5395,23,518566.69
5497,Ryan Ramirez,20,Female,USA,2,Drama,6.21,9.88,College,7,33,15106,5221,26,440853.07
5498,Nathaniel Roberson,37,Male,USA,15,Comedy,7.52,15.0,High School,13,34,15932,4361,20,1084289.36
5499,Pamela Lewis,43,Male,USA,17,Action,5.27,7.84,High School,8,42,16231,5254,28,714438.04
5500,Christopher Beasley,21,Female,Canada,3,Action,10.14,5.77,College,5,34,14021,4908,28,478341.91
5501,Charles Mcgee,43,Male,Canada,15,Action,4.56,10.44,Graduate,9,36,16811,5178,24,574201.21
5502,Mary Trevino,31,Female,USA,13,Action,7.28,3.77,High School,5,33,17056,5164,18,545473.14
5503,Thomas Robertson,52,Male,USA,17,Sci-Fi,8.58,9.41,Graduate,6,32,14443,4631,20,530316.48
5504,Thomas Osborn,39,Male,USA,18,Action,5.76,4.08,Graduate,5,36,16070,5278,21,672772.42
5505,Sandra Ortega,23,Female,USA,5,Comedy,10.2,5.3,High School,6,47,14500,5065,25,343595.99
5506,Stephanie Hudson,41,Female,USA,14,Drama,8.72,2.91,University,6,50,18889,5771,29,701801.22
5507,Michelle Hunter MD,27,Male,USA,9,Action,6.69,13.74,High School,10,32,17488,5151,31,500287.02
5508,Jennifer Taylor,30,Female,USA,12,Comedy,8.5,11.16,Graduate,9,28,17130,5067,25,838416.24
5509,Sandra Martinez,42,Male,USA,20,Sci-Fi,7.71,7.43,High School,10,33,15591,5016,22,758726.91
5510,Amy Cruz,36,Female,USA,16,Action,9.76,13.32,College,14,36,16393,4648,18,1734605.37
5511,Andrew Vazquez,58,Female,USA,12,Drama,5.5,5.46,High School,8,50,18252,5389,30,722249.68
5512,Kathleen Long MD,58,Female,USA,13,Drama,6.89,7.3,High School,7,37,15658,4957,22,576636.23
5513,Brittany Russell,53,Male,USA,11,Action,5.97,10.36,College,9,30,17594,5072,24,850930.64
5514,Janice Meyers,29,Female,USA,11,Drama,10.01,5.39,College,8,30,14427,5064,30,595077.68
5515,Jennifer Murray,41,Male,USA,21,Action,6.24,11.31,College,11,38,16654,5091,25,984757.55
5516,Jose Hayes,32,Male,USA,14,Comedy,7.49,12.1,High School,12,34,16546,5135,32,1067243.89
5517,Jennifer Sanchez,46,Female,USA,14,Sci-Fi,8.51,2.75,Graduate,4,38,17297,5401,39,570975.34
5518,Sherry Armstrong,39,Female,Canada,16,Horror,7.95,14.65,University,12,50,18272,5307,26,1358456.0
5519,Marissa Robinson,46,Male,USA,13,Horror,6.94,4.99,Graduate,6,40,18561,5081,22,698900.86
5520,Jason Owens,36,Female,USA,17,Action,5.71,10.5,Graduate,9,44,16180,4687,25,824252.18
5521,Brian Johnson,29,Female,USA,11,Musical,6.82,5.35,Graduate,4,27,13078,4624,26,228213.13
5522,James Clark,25,Female,USA,7,Horror,7.67,1.5,High School,5,54,20696,5358,27,518660.8
5523,Rebecca Preston,28,Female,USA,10,Musical,9.98,14.04,Graduate,9,26,13733,5040,23,551387.69
5524,Bradley Hayden,63,Male,USA,14,Sci-Fi,8.68,8.16,High School,8,41,19880,5149,17,624455.76
5525,Kayla Jacobs,63,Female,USA,17,Action,4.83,8.43,College,9,26,16070,5173,22,743494.24
5526,Katherine Castro,40,Female,USA,15,Sci-Fi,8.22,6.29,High School,11,43,16773,4974,24,884511.78
5527,Michael Cannon,42,Male,USA,15,Comedy,5.01,1.54,High School,5,42,17114,5461,33,610123.98
5528,Jackson Griffin,37,Female,USA,18,Comedy,8.6,13.32,University,12,31,15056,5294,20,999156.75
5529,Cory Hendricks,41,Male,USA,16,Horror,6.89,5.89,Graduate,8,42,19266,5377,29,856752.37
5530,Valerie Thornton,23,Female,USA,5,Drama,7.7,13.69,Graduate,5,39,14568,5192,23,355558.3
5531,Chad Randall,44,Female,Canada,14,Comedy,6.53,5.73,Graduate,9,31,14869,5308,31,926223.58
5532,Kevin Scott,44,Male,USA,14,Musical,7.86,6.91,College,7,43,17691,5383,25,577437.97
5533,Shawn Rogers,30,Female,Canada,12,Horror,7.01,10.73,University,9,36,16429,5099,23,756279.35
5534,Nicole Lopez,47,Female,USA,20,Action,9.41,8.8,University,10,37,19444,5031,19,1609945.26
5535,Billy Lopez,45,Male,USA,13,Action,5.47,8.24,Graduate,6,45,15524,5009,28,543221.6
5536,Christopher Sanchez,44,Male,USA,16,Drama,8.77,2.54,College,6,30,15125,4745,23,499145.51
5537,Diane Williams,30,Male,USA,12,Drama,8.69,15.57,Graduate,9,38,19364,5271,24,737696.81
5538,Amy Woods,25,Female,USA,7,Musical,9.36,5.21,High School,7,39,15763,4867,30,379837.46
5539,Kim Ayala,24,Female,USA,6,Drama,8.99,10.37,University,6,34,16613,5551,25,453487.31
5540,Jeffrey Rivera,58,Male,Canada,13,Drama,8.43,1.87,College,4,35,17019,4954,21,479617.5
5541,Jessica Medina,50,Male,USA,13,Action,5.65,7.54,University,8,34,17685,5180,26,744643.26
5542,April Glover,47,Female,USA,9,Comedy,9.26,3.83,University,6,32,16061,5472,34,590065.26
5543,Nicole Rivera,33,Female,USA,9,Drama,8.29,7.69,Graduate,7,42,18229,5879,30,708580.72
5544,Megan Parker,28,Female,USA,10,Drama,7.14,5.99,University,5,44,17395,5017,25,357633.53
5545,Samantha Morgan,62,Female,Canada,11,Action,9.61,6.55,College,9,31,13897,4367,20,862396.36
5546,Amanda Lloyd MD,45,Male,USA,15,Action,6.11,16.49,University,9,30,14061,4641,19,571470.96
5547,Brittney Davis,22,Female,USA,4,Drama,7.54,11.86,High School,7,45,17675,5579,36,478989.59
5548,Mitchell Perkins,48,Female,USA,12,Drama,8.81,10.05,University,10,45,18109,5369,27,1139208.47
5549,Stacey Haney,43,Male,USA,14,Sci-Fi,7.28,10.64,College,9,32,15687,5137,25,724961.95
5550,Mark Melendez,28,Female,USA,8,Action,7.08,10.8,Graduate,8,27,14424,4458,23,588600.46
5551,Alexander Lewis,35,Female,USA,17,Comedy,10.34,15.11,College,11,53,18306,5408,25,1274367.57
5552,Jack Gonzales,41,Male,USA,15,Sci-Fi,5.97,10.48,University,11,52,19403,6033,34,755227.11
5553,Michael Arnold,29,Male,USA,11,Horror,5.86,10.88,University,9,40,16689,5318,27,581384.79
5554,Larry Ramirez,48,Male,USA,15,Drama,7.33,7.82,High School,11,33,15807,4901,25,1311852.97
5555,Cheyenne Dudley,51,Female,USA,11,Comedy,6.43,9.32,High School,9,36,14414,4813,25,599598.24
5556,Thomas Jackson,20,Male,USA,2,Action,6.68,3.92,University,4,33,15594,4834,28,431376.67
5557,Alexander Cummings,38,Female,USA,20,Drama,8.17,6.56,Graduate,8,31,16825,5131,19,1158232.55
5558,Richard Stanley,33,Female,USA,15,Musical,7.22,10.08,Graduate,10,38,18013,5726,28,915030.56
5559,Nathan Goodwin,38,Female,USA,15,Comedy,7.56,9.55,College,12,45,16232,4673,27,1034578.44
5560,Mariah Cox,47,Female,USA,15,Drama,10.93,13.17,University,12,33,15786,4481,18,1343738.23
5561,Jennifer Schroeder,33,Female,USA,13,Drama,8.31,15.31,High School,10,46,19472,5147,21,1338711.15
5562,Samantha Cabrera,35,Female,USA,14,Comedy,6.81,3.36,University,4,26,16237,5042,20,436824.61
5563,Brett Orozco,48,Male,USA,23,Action,5.67,12.68,College,15,36,16175,4986,28,1584789.18
5564,Nicole Wong,32,Female,Canada,14,Action,5.62,6.98,University,9,26,16079,4646,22,650596.71
5565,Mr. Jeffrey Miles,47,Female,Canada,21,Sci-Fi,8.53,7.37,Graduate,11,33,14570,4872,24,1428505.02
5566,Andrew Brooks,34,Female,Canada,16,Drama,8.82,7.54,College,9,50,18903,5449,25,1073798.99
5567,Taylor Hall,43,Female,USA,16,Comedy,8.11,7.4,Graduate,8,44,16727,5200,27,1017338.55
5568,Laura James,58,Female,Canada,19,Comedy,10.22,10.96,High School,13,27,13982,4815,22,1306793.7
5569,Lisa Combs,50,Male,USA,14,Horror,5.41,7.36,University,9,31,14097,4866,24,452237.59
5570,Jason Robinson,35,Male,USA,17,Comedy,6.01,14.75,College,14,37,16830,4988,27,1218850.55
5571,Sherry Hernandez,35,Male,Canada,12,Comedy,7.32,9.64,High School,8,44,19577,5324,24,963660.67
5572,Sara Macdonald,42,Male,USA,11,Sci-Fi,7.54,8.16,University,5,30,17986,4829,20,426954.25
5573,Harry Dixon,26,Male,USA,8,Action,11.98,18.47,Graduate,9,22,12412,4324,21,492520.47
5574,Richard Jacobs,53,Male,USA,17,Drama,6.67,9.32,Graduate,8,46,15146,4842,19,467451.46
5575,Justin Ryan,44,Female,USA,13,Comedy,7.5,5.76,University,6,37,16179,4878,28,555299.0
